x,y,vx,vy,theta,rate
-0.0362727628296244,0.8041251318544989,-0.277151378568043,2.1564426707911077,1.7197299841405596,1.6236052307737678
-0.0402676494949917,0.825407382345025,-0.3194314422259747,2.1626188574252683,1.7408768202523668,2.1355389131357585
-0.0450620331239589,0.8470545413872035,-0.3796657811605159,2.1772700310540114,1.7638512437447649,2.551630330517174
-0.0501474076970039,0.8685568726184332,-0.4364560452625237,2.181863239512313,1.7863600404770583,2.8299027964322367
-0.0555780629909253,0.8899525273866513,-0.4909323396096219,2.180345026698804,1.8188069294013387,3.302392649452307
-0.0617569193383163,0.9113109245136508,-0.5559788092221026,2.176501809690772,1.8441671874373264,3.414588887480946
-0.067592852495979,0.9332187163812838,-0.5935805535391201,2.1890068065477126,1.864002401657572,3.287382480037733
-0.0753408569347549,0.9542652526514004,-0.6842201170458319,2.1694254667422594,1.885582131248848,3.179352661270877
-0.0832078877850362,0.9753161033563924,-0.7547786626897743,2.152044587441474,1.9051547464217229,2.9898581513979208
-0.0902777819480801,0.997003821997007,-0.7790104066550926,2.158971121038098,1.925817319031332,2.839329976015854
-0.0973551524948004,1.0189796899765853,-0.7925796834701591,2.173712370475002,1.9532103527136089,2.907387421132638
-0.1066163786833385,1.0397246430425549,-0.8695320098756035,2.144652578596065,1.9773160279371955,2.8356612776493595
-0.1163362977196342,1.0609079823835994,-0.9406527465715764,2.1353787843901477,1.9996008348118808,2.7152926931670303
-0.1257984962683269,1.0818956294303703,-0.9835638910431272,2.1203628767455767,2.020803393207613,2.566827675038458
-0.1362419151335036,1.1031337513563666,-1.04548324863933,2.117154993450974,2.04698250817384,2.590151397179746
-0.1474623818542085,1.1238885761144322,-1.1132492945498755,2.0999396704867954,2.07008005681259,2.516126550961564
-0.15893928969313,1.1448949354782458,-1.1675477717816105,2.090572877902153,2.097369988406658,2.582970410884804
-0.1716151304471709,1.1649383411920866,-1.2470364811443877,2.0599102486467986,2.126288894285906,2.687413834873277
-0.1844304461536494,1.1853608736373284,-1.306802679187723,2.045340000354076,2.1569633909760064,2.830389186817986
-0.1974248934402166,1.2055263158956346,-1.3548210398353917,2.025364364066258,2.1887881972667214,2.976155314574724
-0.2118787440184889,1.2251288382379213,-1.4319915122693858,1.993057909937991,2.2162445146991105,2.9586296811780346
-0.226202330371505,1.2447314177310909,-1.4820762769934748,1.9687067484304892,2.2511706245685925,3.166149006887615
-0.2416469549547833,1.2634224631046254,-1.552491842250998,1.920340508108549,2.281939534396693,3.212225344782597
-0.2573956667835112,1.2821989829321112,-1.607624775117847,1.883567501174392,2.3191112308098147,3.4172021863184376
-0.2733472725841808,1.300930439256026,-1.6561471194728283,1.8624406154932165,2.3485866920424447,3.330983052818556
-0.2905601112866196,1.31853663876407,-1.7258676834508402,1.807666404138779,2.373165164758574,3.114799611969547
-0.308031907343221,1.3354448912132628,-1.7832175901025034,1.7448315661671931,2.4144522356321247,3.4365750966765503
-0.3262351312571908,1.3521595799116095,-1.844104059320757,1.692403426004024,2.432316453155614,2.980359616643577
-0.3442648874492482,1.369417621702849,-1.879720234840951,1.6707961809628458,2.4676075757731395,3.1292927403509863
-0.3636689032245708,1.384247261610894,-1.9464011478040228,1.581558983257985,2.5032214568511124,3.270661168199729
-0.383473004889547,1.3980898155622272,-2.0050222732419125,1.4829584780468223,2.542434419676418,3.49653812748215
-0.4031631223202466,1.412226123064701,-2.0275051700390643,1.403900342971823,2.593078993147556,4.016843517037729
-0.4229703575545331,1.425028942168048,-2.068430755558247,1.3259781499495678,2.6335759673878125,4.16027488026259
-0.4441051608652245,1.4376544520009404,-2.124787469074669,1.254527728812319,2.6601675221058545,3.799015789132621
-0.4656018204396116,1.4485386647263192,-2.175787892619019,1.1482832642496594,2.6870751356091245,3.495888333496924
-0.4879838708048757,1.4597016908608968,-2.22331340803761,1.0700546863622205,2.720390608543229,3.418853464958985
-0.5099233110925303,1.469735499911884,-2.2711132817814845,0.9980261965078095,2.750117673301483,3.2941880964893397
-0.532368558339037,1.4784460177939902,-2.304580354159468,0.8968348657938541,2.7899669817432287,3.4892974942243344
-0.5557839791230367,1.487155617825592,-2.342754810351536,0.8185168663207454,2.8235044028873677,3.431972054754899
-0.578601905922333,1.4956548132552212,-2.3741439542923515,0.7712726269325914,2.841381470485042,2.929210271093768
-0.6020237824570487,1.5033993950669575,-2.3999478624060946,0.712391372387515,2.875957524171008,3.02337615370646
-0.6257616173212504,1.509758764112874,-2.425073286591916,0.6293760604249072,2.907749858532122,3.0284006952402245
-0.649358992407365,1.5160081173529023,-2.435933244597836,0.5682108365404336,2.931261834514733,2.7674828343435083
-0.6732795423799333,1.5215689144737452,-2.449236943532509,0.5053146287015963,2.960201458312401,2.7383598987421305
-0.6973520014993912,1.5260842623670532,-2.4613135125437613,0.4305249956304817,2.9988083625345747,3.021330631785204
-0.7208791222065918,1.5294423021245869,-2.4496498990835964,0.3428750747709342,3.033477851337247,3.1553315852157757
-0.7450372450361208,1.5326909825276316,-2.4561051056606207,0.2759350685499755,3.0671442832435702,3.2211515676910385
-0.7691005435348865,1.5343341369213794,-2.455597796133984,0.1792691438024626,3.095395929777495,3.117279238907698
-0.7937058214307118,1.5353866439096275,-2.4699976328275923,0.0918330212160132,3.118267403025348,2.8557459023282363
-0.8179778435768781,1.5355870269861025,-2.4686196080080847,0.0028285974128998,-3.1371219861724784,2.80972307837904
-0.8418723798966936,1.53397477409823,-2.451876770587859,-0.1185363051903675,-3.1029721570906394,2.9712429601759034
-0.8653493319451331,1.5316325581177843,-2.4245470847869286,-0.2282094940042624,-3.0615727234634744,3.328695437008763
-0.8893932674044193,1.5292880069187351,-2.421918310301339,-0.3061386371579779,-3.028596479460722,3.3618511318873874
-0.9125780719746974,1.5253356132803448,-2.387926824807186,-0.4080879335876537,-2.9841228699126083,3.724611516800457
-0.9368220630443492,1.5216967444321945,-2.396372729710731,-0.4691364469877546,-2.962494842952641,3.303389022982968
-0.9610544589265574,1.5165193874358356,-2.3829594254542363,-0.554666912401582,-2.9323625887828086,3.1904706609768354
-0.9835424237844348,1.5105038326516234,-2.355101691193297,-0.6441598319667418,-2.900688886873054,3.2042076127624566
-1.0068000654331544,1.5052415387821327,-2.33909613983221,-0.676623016074831,-2.86511209264283,3.312604223165612
