x,y,vx,vy,theta,rate
-0.0149892308124546,0.86911574159411,-1.4190758545838806,1.5858932279394526,2.303460202899993,2.907213291610088
-0.0293637730424523,0.8842658671908427,-1.4622312239515884,1.5353042755409327,2.3317212393982585,2.8979022307041946
-0.0436201514264637,0.8996460668321392,-1.4906098060926056,1.511275966053235,2.3678042257023506,3.140649033953461
-0.0592351791132121,0.9141826762831822,-1.547794041745738,1.463391870008382,2.390926183456861,2.928228326382197
-0.0744524675830136,0.9286471949131548,-1.5793529475316417,1.4320068842320386,2.419262342913498,2.926541691583613
-0.090514998951174,0.9418598002984804,-1.624864186149647,1.3679647344181434,2.443564296352872,2.7843749600467897
-0.1073339739828204,0.9560721113379512,-1.6558172837167218,1.330064062946151,2.468659623207452,2.642109117376123
-0.1232084632722497,0.968561422106382,-1.6901521018326229,1.2913765982841623,2.4932294164440885,2.591886477088138
-0.1402018076721403,0.9806440047531106,-1.7291639531113765,1.2333727165684598,2.518975778857373,2.5577259041593767
-0.1573422330749695,0.9927174112297502,-1.7576994647967663,1.190840381061037,2.547040261010395,2.605733395601438
-0.1747422543116733,1.0040112661814906,-1.785959259940081,1.137137503908903,2.579717851945833,2.791664289197652
-0.1926752178982467,1.015570772161989,-1.8171271393480093,1.1054162032259736,2.605386781244075,2.7365005820186616
-0.2106205998632409,1.0258221311416411,-1.8413960921588728,1.0427711926590242,2.633471036124168,2.751845819937302
-0.2288798374587671,1.0358084536703054,-1.8661804341884112,0.9914696988414996,2.659934156543084,2.724524443574994
-0.2473552737776768,1.046170643965724,-1.8884094884145437,0.9664381222639828,2.684488312573305,2.637924355030519
-0.2661155801135983,1.0550208866480075,-1.910817080805876,0.9030771953457968,2.709202488601455,2.5802505039170165
-0.285068415884763,1.0630323196709914,-1.9262856465002784,0.829491598146241,2.7370499465061933,2.617678306821489
-0.3042370976848014,1.071250271783584,-1.9500975689500668,0.7863479392649486,2.760569144644061,2.5313261809535854
-0.3235892815862404,1.079937175165623,-1.9675914654482616,0.768303466129415,2.7880591345634222,2.585889850998128
-0.3428319043548022,1.0853282314857429,-1.9746823556412243,0.6575681980746799,2.8233087486687958,2.864502501702821
-0.3628042796954905,1.0916812526103412,-1.996090380604164,0.6020377459092336,2.855331061246157,2.9885620163492
-0.3825080028014845,1.0985581937195183,-2.011033900801932,0.5829495881485578,2.8810095293707887,2.903373939801375
-0.4025060743741861,1.1039081722843052,-2.024155744970686,0.5233766519199271,2.9183792336180177,3.1979255969194087
-0.4228135645718852,1.1078626440284025,-2.043211784252676,0.439264876757498,2.9514583414489484,3.2885512942853987
-0.4431860805881571,1.1117689315377814,-2.057423945276554,0.3757982004551206,2.9840648790159365,3.3435684668940007
-0.463574765159321,1.1148318946530664,-2.0663054061668102,0.3041445967916638,3.020921795106104,3.5043582613698177
-0.4839939195168428,1.116351459066676,-2.073001890894506,0.2049987129155899,3.055677225303246,3.570065078065485
-0.5039988819557611,1.1172329280384607,-2.06266559770315,0.1128888381011098,3.0928249663304768,3.681372577309528
-0.5246072455724852,1.1186222182899983,-2.0710730648241307,0.0624755771493022,3.1214779249381586,3.50475071323667
-0.5451293992123655,1.118413137987634,-2.073193541032939,-0.0209568972557116,-3.1280432702132117,3.500323202223953
-0.5646473372787538,1.1164174241353408,-2.042284975812476,-0.1347672959067604,-3.087506425808169,3.700421538882875
-0.5852733551256302,1.1161397366628134,-2.051461780481126,-0.1632494295971243,-3.0582698396261287,3.504482080032924
-0.6057264443694048,1.1143904429380094,-2.053710123892836,-0.2249941861047795,-3.034723702435713,3.167048173828608
-0.6253205913197389,1.1112841713262434,-2.024707375018427,-0.3089928635711941,-2.996045954175854,3.34702078005557
-0.6452653416870591,1.1079308379226571,-2.015506143525117,-0.3763193141253239,-2.9700137569460394,3.111862468643812
-0.6652448937090416,1.1041275473061405,-2.0054726865538712,-0.4358392172630285,-2.9347988580137483,3.203521768281186
-0.6850200891159752,1.0990142900586226,-1.993724535981576,-0.5168850466053913,-2.909249382650765,2.990222987628908
-0.7040433477999498,1.0931244766872028,-1.962151733727913,-0.5993144894160946,-2.877754669080118,2.99551404327879
-0.7234583725525369,1.0867320309534736,-1.948889091814165,-0.6727873894255346,-2.8534869353342267,2.7842738519929684
-0.7429116813859592,1.080500885049767,-1.9396741021811863,-0.7176193066778498,-2.8191059105114262,2.944479878455529
-0.7615646133774898,1.0725494896218106,-1.906463140193369,-0.7997281194296666,-2.78575301069638,3.0389198820500587
-0.7802375570355023,1.0648368662275438,-1.876538060552388,-0.8454920601572267,-2.744202330712041,3.3704864265327026
-0.7992254231887733,1.0574021680205534,-1.876186035606068,-0.8691343015054069,-2.707794309192072,3.5015650860947987
-0.8174205814648893,1.048190314971971,-1.8442424668822643,-0.9351455909313892,-2.675424752396645,3.4604937755233998
-0.8345057730623112,1.0379782389402394,-1.789167312536284,-1.0132033032405665,-2.6385780273550647,3.576647894746392
-0.8522831096360018,1.0282426839057557,-1.7683532270103046,-1.053741609239293,-2.6021657805649707,3.64424900997916
-0.8697254679195024,1.0175688547366986,-1.7355984529485438,-1.1039794755534973,-2.5681999551855763,3.612061119530113
-0.8865857438820309,1.006737420791958,-1.7052831637691857,-1.1491338919264815,-2.532805244710907,3.64128959628828
-0.9029493836169036,0.9949231198591388,-1.661713269005149,-1.2055999250210634,-2.500714820653561,3.5423189618669486
-0.9195821646036606,0.9827777908293104,-1.6393279080311578,-1.2555331428231349,-2.483980297497204,2.979785529582573
-0.9358603171583358,0.9709511170680704,-1.6128103129362716,-1.2775470085412872,-2.4483444523782123,3.108244147502593
-0.9511846809890282,0.9572135940140656,-1.5643791003124334,-1.3497327269685546,-2.4240381263483246,2.8696100953360166
-0.9665096234617148,0.9439088129143116,-1.5289221096513692,-1.3873104908892806,-2.393963729028875,2.8671178517007365
-0.981831433019738,0.930280016605303,-1.5040494665113109,-1.4219961709611162,-2.367850021022912,2.745036893396821
-0.9964538407740364,0.915994304077321,-1.466681858888787,-1.4650053043263742,-2.3424475074715705,2.633772614806824
-1.009678856686414,0.9006399867999392,-1.39455756806133,-1.5255017772225223,-2.317819765660641,2.522550451596755
-1.0236952996854,0.8854460369335596,-1.3654658309290126,-1.5649035889687386,-2.2895471652988686,2.5434595312767763
-1.0374085465587315,0.8700697622834344,-1.335217503085791,-1.5975750403738045,-2.2593063791770187,2.6399400074318464
