log_time_ns,_full_text,_type,theta,x,y
1714664833449879231,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005288484417476083,-0.056840717792510986,-1.2228819131851196
1714664833452867232,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005286339988611968,-0.05682647228240967,-1.2228877544403076
1714664833457049750,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0052856127543044725,-0.05683666467666626,-1.222881555557251
1714664833463559123,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005296403155841309,-0.05681955814361572,-1.2228895425796509
1714664833466492650,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005282572048963089,-0.0568469762802124,-1.2228779792785645
1714664833470164239,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005293463310702936,-0.056825339794158936,-1.2228889465332031
1714664833474253920,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005301046626062845,-0.05680936574935913,-1.2228920459747314
1714664833477671372,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005282782723780658,-0.05684030055999756,-1.2228773832321167
1714664833481855121,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005292129189081196,-0.05682408809661865,-1.2228899002075195
1714664833486205681,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005288118200591202,-0.05683702230453491,-1.222882628440857
1714664833490479564,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.00530430525330426,-0.05680835247039795,-1.2229012250900269
1714664833496673714,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005295799312293116,-0.05681723356246948,-1.2228949069976807
1714664833498806337,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005289508868452012,-0.056832075119018555,-1.2228853702545166
1714664833503407366,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0052990513046195864,-0.05681312084197998,-1.2228949069976807
1714664833506821343,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005303571955245862,-0.05680471658706665,-1.2228949069976807
1714664833511068835,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005286405209380452,-0.056839704513549805,-1.222888708114624
1714664833515320734,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005292618545902375,-0.05682617425918579,-1.2228916883468628
1714664833519290725,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005312892363668126,-0.056784749031066895,-1.222912311553955
1714664833527166485,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0053038227802299715,-0.05680227279663086,-1.222898006439209
1714664833528642661,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005278626329856151,-0.05685269832611084,-1.2228751182556152
1714664833532654532,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0053018452059278385,-0.056805968284606934,-1.2228920459747314
1714664833536254705,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0052922025142364895,-0.05682581663131714,-1.222882866859436
1714664833540402657,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005264701848176369,-0.05687308311462402,-1.2228686809539795
1714664833544550248,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005290757281803933,-0.05683493614196777,-1.2228851318359375
1714664833548641020,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005299615375080085,-0.0568164587020874,-1.2228933572769165
1714664833553050862,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0053062634745834145,-0.056800901889801025,-1.2229011058807373
1714664833558654090,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005279697004583577,-0.05684441328048706,-1.2228775024414062
1714664833561587857,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0052956568641751404,-0.056817054748535156,-1.2228902578353882
1714664833565515137,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005285620443646152,-0.05684387683868408,-1.2228784561157227
1714664833569574329,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.00528827910190966,-0.05682802200317383,-1.222882866859436
1714664833573547526,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005313455127017642,-0.05679208040237427,-1.2229048013687134
1714664833577731226,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005291019958327475,-0.056825459003448486,-1.222891926765442
1714664833581879539,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0053061717291715575,-0.05680328607559204,-1.2228947877883911
1714664833588830716,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005310568492289012,-0.056790947914123535,-1.2228996753692627
1714664833590999769,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005294511584870503,-0.05682384967803955,-1.2228881120681763
1714664833595056987,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005310437078312332,-0.05679309368133545,-1.2229058742523193
