log_time_ns,_full_text,_type,theta,x,y
1714839290221286870,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004869627635321587,-0.05684256553649902,-1.220000982284546
1714839290224583730,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048779175912683605,-0.056826770305633545,-1.2200134992599487
1714839290229161364,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004864522836119744,-0.05686289072036743,-1.2199890613555908
1714839290232889681,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004869607802930861,-0.056843698024749756,-1.2199974060058594
1714839290237019467,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048761943165145216,-0.0568389892578125,-1.2200021743774414
1714839290242910641,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048623125665317145,-0.05686509609222412,-1.2199859619140625
1714839290245669941,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004859679529089489,-0.056870341300964355,-1.2199819087982178
1714839290249984912,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048855239967880585,-0.05682229995727539,-1.2200080156326294
1714839290254024096,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004868574890859118,-0.05684554576873779,-1.2199959754943848
1714839290257931075,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004859010444970036,-0.056876420974731445,-1.2199851274490356
1714839290262162367,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048883144226145175,-0.05681413412094116,-1.220017910003662
1714839290266209965,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004866107758073633,-0.056854963302612305,-1.219995379447937
1714839290272770711,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004893039955698012,-0.0568082332611084,-1.220013976097107
1714839290275012519,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004869114685125474,-0.05684703588485718,-1.2200061082839966
1714839290279585525,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004865447927188436,-0.056866347789764404,-1.2199865579605103
1714839290285176273,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004866060621207163,-0.05685532093048096,-1.2199918031692505
1714839290286684915,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.00485645065744164,-0.05687457323074341,-1.2199807167053223
1714839290292228472,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004901221283227437,-0.056798458099365234,-1.2200229167938232
1714839290295217552,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004881763404148073,-0.056822896003723145,-1.2200160026550293
1714839290299291091,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004869557887801409,-0.056849896907806396,-1.2199946641921997
1714839290304806693,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.00488167770034891,-0.05682653188705444,-1.2200095653533936
1714839290308729022,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048996900254084964,-0.056794166564941406,-1.2200279235839844
1714839290312271824,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004871955800204288,-0.05684471130371094,-1.220009446144104
1714839290316788542,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004892768475180835,-0.05680274963378906,-1.2200204133987427
1714839290320205473,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004875448799497824,-0.05683940649032593,-1.2200052738189697
1714839290324420182,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004876012136902261,-0.05683213472366333,-1.2200069427490234
1714839290328366417,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048803875990629155,-0.05683255195617676,-1.2200076580047607
1714839290335373831,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004855963105890563,-0.05686980485916138,-1.2199904918670654
1714839290337086123,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004864991568806929,-0.05685889720916748,-1.219993233680725
1714839290342028988,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004879637210177538,-0.05682730674743652,-1.2200103998184204
1714839290346655937,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004896198409669509,-0.05680346488952637,-1.220026969909668
1714839290349354179,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004882821565721788,-0.056825101375579834,-1.22001314163208
1714839290354710598,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048864320591431205,-0.05681818723678589,-1.2200191020965576
1714839290357644632,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004883701892244444,-0.056831955909729004,-1.2200011014938354
1714839290365587970,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.00488107537951174,-0.05682730674743652,-1.22001051902771
1714839290367065823,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004876254651405566,-0.056847572326660156,-1.2200000286102295
1714839290371727229,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004866596568790675,-0.056855082511901855,-1.2199918031692505
1714839290374644341,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004866300903465349,-0.056851744651794434,-1.2200021743774414
1714839290378602958,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004878490289305904,-0.0568351149559021,-1.2200093269348145
1714839290382458269,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.00486857107405306,-0.05685269832611084,-1.219995141029358
1714839290386917467,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004871519434823653,-0.056843459606170654,-1.2199996709823608
1714839290391111948,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.00485981165313129,-0.05687922239303589,-1.2199723720550537
1714839290396665424,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004894164410043809,-0.05680263042449951,-1.2200168371200562
1714839290400096401,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048730406748984465,-0.056843698024749756,-1.2200037240982056
1714839290403852752,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004876159169035131,-0.056844472885131836,-1.2199969291687012
