log_time_ns,_full_text,_type,theta,x,y
1714742866776248975,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0055652442834632655,-0.05677598714828491,-1.222436785697937
1714742866779252638,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005585842242735867,-0.05674237012863159,-1.2224615812301636
1714742866783429104,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0055854121336847634,-0.05673670768737793,-1.2224597930908203
1714742866792127879,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005592426799498405,-0.056730687618255615,-1.2224624156951904
1714742866792463532,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005597454731322492,-0.0567249059677124,-1.2224559783935547
1714742866796663854,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0055710615168881455,-0.05676966905593872,-1.222440481185913
1714742866801656193,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005587158696295767,-0.056738197803497314,-1.2224541902542114
1714742866804462095,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0055812629230974665,-0.056752800941467285,-1.2224459648132324
1714742866808748472,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005574361065838245,-0.05677306652069092,-1.222435474395752
1714742866812498933,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0055825268398173615,-0.05674707889556885,-1.2224503755569458
1714742866817210924,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005559793034123699,-0.05678665637969971,-1.2224249839782715
1714742866824484573,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0056378772105848685,-0.05663710832595825,-1.2225016355514526
1714742866825543610,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005613779395008,-0.05667734146118164,-1.2224968671798706
1714742866829960237,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005575897869239136,-0.05675709247589111,-1.2224493026733398
1714742866833484685,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005581518968808896,-0.0567474365234375,-1.222458839416504
1714742866837725184,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.005583106801674581,-0.05673569440841675,-1.2224571704864502
