time,s,e,dtheta,vx,vy,omega,throttle,steering,x,y,heading_angle
0.038082944,10.542388980384963,-0.0919801822606797,-0.11799185186051497,0.826971373197023,-0.008186853065732516,0.22048172271068614,0.1696393638849258,-0.0,-0.1693653962090615,-0.09198018226067992,-0.11799185186051542
0.043008384,10.545722313718297,-0.0922826778071006,-0.11707633023253683,0.8281879487520182,-0.015832900646198477,0.1898386476980637,0.1696393638849258,0.0,-0.1659621962454712,-0.09228267780710082,-0.11707633023253727
0.04798272,10.552388980384965,-0.0930945020233228,-0.11729713678112885,0.8336152179689218,0.005580462196343125,0.22136155436218957,0.1696393638849258,0.0,-0.15898198488486937,-0.09309450202332302,-0.1172971367811293
0.05301312,10.555722313718299,-0.09384443105247561,-0.11459466109172167,0.8396006893856701,0.0005912936736696254,0.19801837910840633,0.1696393638849258,0.0,-0.15554659220216513,-0.09384443105247584,-0.11459466109172212
0.057924223999999996,10.559055647051633,-0.09422342405085075,-0.11085107420381268,0.8448610493806774,-0.012378203551609216,0.10131288570696978,0.1696393638849258,0.0,-0.1521260727695961,-0.09422342405085098,-0.11085107420381313
0.062988672,10.562388980384966,-0.0943818319841398,-0.11271663875172377,0.84802436349276,-0.01586534955606782,-0.016012366874889997,0.1696393638849258,0.0,-0.1485416939174271,-0.09438183198414002,-0.11271663875172422
0.067999104,10.5657223137183,-0.09460593443276123,-0.11440964109252283,0.8451586204385467,-0.007040101199587101,-0.09622721112863361,0.1696393638849258,0.0,-0.14510387314431594,-0.09460593443276145,-0.11440964109252327
0.072995456,10.575722313718302,-0.09585231212672378,-0.11160351192022722,0.8579448402983564,-0.007979574356546948,-0.17746512625399136,0.1696393638849258,0.0,-0.13801830108941304,-0.095852312126724,-0.11160351192022766
0.07797824,10.579055647051636,-0.09634879576567489,-0.11141002146328871,0.8626956299909133,-0.014643454165112724,-0.2611269304159746,0.1696393638849258,0.0,-0.1344351182833292,-0.09634879576567511,-0.11141002146328916
0.083010688,10.58238898038497,-0.09662634755019653,-0.11581623422401277,0.8690443955660203,-0.007740743765819305,-0.24997057850646368,0.17053362651004786,0.0,-0.13116164841418676,-0.09662634755019675,-0.11581623422401321
