time,s,e,dtheta,vx,vy,omega,throttle,steering,x,y,heading_angle
0.034654848,10.655722313718314,-0.1167518212637947,-0.22997341337343036,-0.00017515817479944127,0.0003938955291631719,-0.00014839595230499057,0.0041283201426267,-0.0,-0.05772604831240283,-0.11675182126379492,-0.2299734133734308
0.039712383999999996,10.655722313718314,-0.11674904887471475,-0.2299880313799778,-0.0010801050886559802,0.0008490414044006367,-0.011281359002074257,0.00552082627367174,0.0,-0.05773239037942955,-0.11674904887471498,-0.22998803137997825
0.044740223999999995,10.655722313718314,-0.11675416839186911,-0.22997976617531135,-0.0011956212018069468,0.0005479498180228843,0.00013257870742643528,0.007130959455636606,0.0,-0.057733748704601746,-0.11675416839186933,-0.2299797661753118
0.04968,10.655722313718314,-0.11681090312188784,-0.22891649019112714,2.618489155720302e-06,-0.0005171520557319938,-0.011198333458157227,0.008182644228943138,0.0,-0.05768622591228926,-0.11681090312188806,-0.2289164901911276
0.054678144,10.655722313718314,-0.11675500216546364,-0.22996842765729442,0.00013357068548092488,-0.00037197289202231683,-0.01081943178703894,0.009585141534543706,0.0,-0.05773389428275838,-0.11675500216546386,-0.22996842765729486
0.059648896,10.655722313718314,-0.1167562029638237,-0.22996618388322565,-7.285343601186922e-05,-0.00013203675125708584,-0.0022636576420090714,0.01051518812663222,0.0,-0.05773208955376519,-0.11675620296382393,-0.2299661838832261
0.064719744,10.655722313718314,-0.11676776548493842,-0.2299427835746033,-0.001091451999317148,0.0006997174292144382,0.0005075480394051428,0.01114955473400678,0.00032891747383544676,-0.05773227935128918,-0.11676776548493864,-0.22994278357460374
0.06964825599999999,10.655722313718314,-0.1167554759471349,-0.2299686052356651,-0.00026562393032764813,5.44566382041013e-05,-0.011279786467509888,0.011557682779781562,0.0010001853400587375,-0.05773452987120316,-0.11675547594713512,-0.22996860523566554
0.07468991999999999,10.655722313718314,-0.11675426951532465,-0.22995354716217298,-0.00021202047225853102,0.00025751778737720805,-0.011372989626915696,0.01183800459761779,0.0021641223320049106,-0.057737504327784774,-0.11675426951532487,-0.22995354716217342
0.079641984,10.655722313718314,-0.11675667096851738,-0.22994488882303754,-0.0001971869996453014,0.000386714618269642,0.0026174058678037726,0.012020799789104822,0.0037362168759598946,-0.05773392467177498,-0.1167566709685176,-0.22994488882303799
0.08464832,10.655722313718314,-0.11675497812462528,-0.22999427966952934,-0.00019204114564937112,0.00015307541825129497,0.0024047827843163474,0.01214458937594096,0.005634292383827183,-0.05773888611386794,-0.1167549781246255,-0.2299942796695298
0.089642112,10.655722313718314,-0.1167539154080243,-0.2299659050837941,0.0001290293442200592,-0.00021783776213397935,0.0024630170397238536,0.012226856829281032,0.007858211602403463,-0.05773677245702512,-0.11675391540802452,-0.22996590508379455
0.09464998399999999,10.655722313718314,-0.11675402345667678,-0.22996436050937197,0.00014715149698142974,2.2532460618927172e-06,0.00540671551462998,0.012281890577356527,0.010330866389284165,-0.05773909013482876,-0.116754023456677,-0.2299643605093724
0.099715968,10.655722313718314,-0.11675796944567557,-0.2299631102527111,0.00021836125533765665,-0.0003189818208663743,0.005376197645727179,0.01231897627174353,0.012963074890760902,-0.05773659081340729,-0.11675796944567579,-0.22996311025271154
0.104720512,10.655722313718314,-0.11676906069684839,-0.22973157231851848,0.00021204706838200114,-0.0003644837905459466,0.011805761587367548,0.012343239060066048,0.015710896671948065,-0.057735623487893156,-0.11676906069684861,-0.22973157231851893
0.109700224,10.655722313718314,-0.11675596799266695,-0.22995576861082112,0.00017691843500414463,-0.00020897801613831965,0.011690245061589848,0.0123593266792089,0.01856072883186439,-0.0577313731581035,-0.11675596799266717,-0.22995576861082156
0.114743424,10.655722313718314,-0.11676809009735947,-0.22971760073736958,0.0010570237097819015,-0.0003158323757161595,0.0003235168858885961,0.012370210532686863,0.02147928820405382,-0.05773913552827575,-0.1167680900973597,-0.22971760073737002
0.11972544,10.655722313718314,-0.11675894575037858,-0.22970894266981245,-0.00016760468939848184,0.00025095011131371356,0.0005115717495974821,0.012377347441330832,0.024436321941718003,-0.05773189414444796,-0.1167589457503788,-0.2297089426698129
0.124680064,10.655722313718314,-0.11676321419888731,-0.22969668114626485,-0.00011633153178170657,-1.6138132993843213e-05,0.000743681456431407,0.012382087730072582,0.027402182926010415,-0.057736698029664656,-0.11676321419888754,-0.2296966811462653
0.129770368,10.655722313718314,-0.11680734676321902,-0.22916030124266706,-5.5839380058985326e-05,0.00024298244557778516,0.0005930380111862769,0.012385349195296616,0.030533324428409486,-0.05768208111521899,-0.11680734676321924,-0.2291603012426675
0.13472089599999998,10.655722313718314,-0.11675166237056361,-0.22971777983686126,-0.00010246110902775485,0.00011282237627385692,2.4133932878671454e-05,0.012387444704759411,0.03364876933223402,-0.05773428798487105,-0.11675166237056384,-0.2297177798368617
0.139707008,10.655722313718314,-0.11675596329214483,-0.2299434634628743,-0.0009902903264999957,0.0005719793582475329,-0.002745360935713779,0.01238885871358501,0.0368107196347276,-0.05773234917284282,-0.11675596329214505,-0.22994346346287475
0.14484416,10.655722313718314,-0.11675509299082873,-0.2299371197908111,-0.0010384903955426206,0.0004225782713984593,-0.005308186467263096,0.01238983129054537,0.04018703170722279,-0.05773978819777487,-0.11675509299082895,-0.22993711979081155
0.14974348799999998,10.655722313718314,-0.11676417335206683,-0.2296893986033628,2.6029891014060918e-05,1.852516950995842e-05,-0.011342107478018917,0.012390441177238622,0.04349476300428658,-0.0577355626969297,-0.11676417335206705,-0.22968939860336324
